# 数据单位说明: 价格(元), 成交量(股), 成交额(元), 换手率(%)
日期,开盘,最高,最低,收盘,成交量,成交额,流动股本,换手率
2026-01-15,20.78,21.63,20.5,20.89,2565211.0,54010756.0,48306300.0,0.053103032109683417
2026-01-16,20.8,20.9,20.35,20.35,1627471.0,33496029.0,48306300.0,0.03369065732627007
2026-01-19,20.14,20.52,19.95,20.25,1037466.0,21048772.0,48306300.0,0.021476826004061582
2026-01-20,20.32,20.45,19.84,19.88,1311568.0,26308683.0,48306300.0,0.027151075532590985
2026-01-21,20.02,20.19,19.8,19.98,967231.0,19347935.0,48306300.0,0.020022874863113094
2026-01-22,19.98,20.2,19.85,20.1,913815.0,18339477.0,48306300.0,0.018917097769856107
2026-01-23,20.1,20.35,20.05,20.09,1454645.0,29442338.0,48306300.0,0.030112945930447995
2026-01-26,20.15,20.22,19.89,19.93,1197028.0,23893690.0,48306300.0,0.024779956237592198
2026-01-27,19.89,19.93,19.2,19.77,958154.0,18694028.0,48306300.0,0.019834969765848347
2026-01-28,20.0,20.0,19.25,19.27,1002619.0,19551401.0,48306300.0,0.02075545011727249
2026-01-29,19.27,19.35,19.01,19.12,701180.0,13430243.0,48306300.0,0.014515290966188674
2026-01-30,19.2,19.4,18.9,19.11,810087.0,15490041.0,57593925.0,0.014065493886725032
2026-02-02,19.11,19.17,18.59,18.7,771261.0,14561286.0,57593925.0,0.013391360286696904
2026-02-03,18.97,18.98,18.65,18.88,753686.0,14181885.0,57593925.0,0.013086206574738569
2026-02-04,18.94,19.04,18.66,18.86,642608.0,12113237.0,57593925.0,0.01115756566339245
2026-02-05,18.75,19.04,18.58,18.67,621251.0,11675973.0,57593925.0,0.010786745303432611
2026-02-06,18.59,18.83,18.51,18.69,489772.0,9171494.0,57593925.0,0.008503883005021797
2026-02-09,18.85,18.94,18.71,18.79,453647.0,8531625.0,57593925.0,0.00787664671230516
2026-02-10,18.91,19.44,18.82,19.04,914644.0,17484052.0,57593925.0,0.015880911050948517
2026-02-11,18.97,19.08,18.7,18.87,454660.0,8592196.0,57593925.0,0.007894235372914764
2026-02-12,18.97,19.06,18.73,18.82,533910.0,10070932.0,57593925.0,0.009270248554860604
2026-02-13,18.72,19.04,18.72,18.95,709171.0,13430275.0,57593925.0,0.012313295195630443
