代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.751,-0.007,-0.923,0.75,0.751,0.758,0.762,0.765,0.749,1043800,786896
sh900902,市北B股,0.169,-0.001,-0.588,0.168,0.169,0.17,0.17,0.17,0.168,477000,80867
sh900903,大众Ｂ股,0.188,-0.001,-0.529,0.188,0.189,0.189,0.189,0.189,0.188,645100,121456
sh900904,神奇B股,0.496,0.001,0.202,0.495,0.496,0.495,0.496,0.501,0.492,43394,21567
sh900905,老凤祥Ｂ,3.364,-0.019,-0.562,3.364,3.369,3.383,3.383,3.383,3.361,168300,566624
sh900906,中毅达B,0.276,-0.004,-1.429,0.276,0.278,0.28,0.28,0.28,0.274,488789,135260
sh900908,氯碱Ｂ股,0.692,-0.003,-0.432,0.691,0.693,0.695,0.697,0.698,0.69,449000,311588
sh900909,华谊B股,0.528,-0.007,-1.308,0.528,0.529,0.535,0.532,0.533,0.524,187600,99221
sh900910,海立Ｂ股,0.569,-0.002,-0.35,0.569,0.57,0.571,0.573,0.575,0.566,508300,290115
sh900911,金桥Ｂ股,0.764,-0.005,-0.65,0.764,0.765,0.769,0.769,0.769,0.763,281400,215474
sh900912,外高Ｂ股,0.688,0.008,1.176,0.687,0.688,0.68,0.685,0.688,0.681,366508,251274
sh900913,国新B股,0.217,-0.002,-0.913,0.215,0.217,0.219,0.219,0.219,0.215,81600,17614
sh900914,锦在线B,0.476,-0.003,-0.626,0.476,0.478,0.479,0.478,0.478,0.476,107500,51277
sh900915,中路Ｂ股,0.359,0.003,0.843,0.358,0.359,0.356,0.357,0.366,0.357,173000,63041
sh900916,凤凰B股,0.386,0.0,0.0,0.386,0.387,0.386,0.385,0.387,0.384,351900,135517
sh900917,海欣Ｂ股,0.275,0.0,0.0,0.274,0.275,0.275,0.275,0.276,0.273,401102,110094
sh900918,耀皮Ｂ股,0.35,-0.003,-0.85,0.35,0.351,0.353,0.353,0.353,0.348,118100,41322
sh900920,动力Ｂ股,0.378,-0.008,-2.073,0.377,0.378,0.386,0.389,0.389,0.374,2254560,858789
sh900921,金煤B股,0.179,-0.005,-2.717,0.179,0.18,0.184,0.182,0.182,0.179,1623200,293238
sh900922,三毛B股,0.707,0.007,1.0,0.704,0.707,0.7,0.702,0.714,0.702,99800,70484
sh900923,百联Ｂ股,0.498,-0.004,-0.797,0.496,0.498,0.502,0.504,0.504,0.491,532400,263639
sh900924,上工Ｂ股,0.352,0.0,0.0,0.351,0.352,0.352,0.351,0.355,0.351,136700,48206
sh900925,机电Ｂ股,1.419,-0.013,-0.908,1.419,1.42,1.432,1.439,1.439,1.418,348480,497088
sh900926,宝信Ｂ,1.012,-0.019,-1.843,1.012,1.015,1.031,1.034,1.037,1.007,1550380,1575542
sh900927,物贸Ｂ股,0.361,-0.006,-1.635,0.361,0.364,0.367,0.366,0.366,0.361,112900,40972
sh900928,临港B股,0.65,-0.018,-2.695,0.651,0.653,0.668,0.666,0.67,0.65,478400,313597
sh900929,锦旅Ｂ股,1.133,0.002,0.177,1.127,1.135,1.131,1.127,1.137,1.127,28500,32185
sh900932,陆家Ｂ股,0.403,-0.002,-0.494,0.403,0.405,0.405,0.405,0.405,0.402,348957,140662
sh900934,锦江Ｂ股,1.505,0.01,0.669,1.502,1.505,1.495,1.504,1.509,1.494,111048,166588
sh900936,鄂资Ｂ股,1.217,0.073,6.381,1.216,1.217,1.144,1.188,1.231,1.186,3126648,3800883
sh900937,华电B股,0.17,-0.002,-1.163,0.169,0.17,0.172,0.17,0.171,0.169,1021700,173411
sh900938,海科B,0.23,0.0,0.0,0.23,0.231,0.23,0.23,0.231,0.228,69212,15893
sh900939,汇丽B,0.604,-0.001,-0.165,0.604,0.605,0.605,0.611,0.611,0.594,278300,167164
sh900940,大名城B,0.239,0.0,0.0,0.236,0.239,0.239,0.235,0.24,0.235,129051,30641
sh900941,东信Ｂ股,0.496,0.002,0.405,0.496,0.497,0.494,0.492,0.507,0.492,2149600,1075921
sh900942,黄山Ｂ股,0.713,0.0,0.0,0.713,0.714,0.713,0.711,0.715,0.711,129662,92528
sh900943,开开Ｂ股,0.442,0.005,1.144,0.441,0.442,0.437,0.438,0.442,0.437,59900,26342
sh900945,海控B股,0.248,-0.003,-1.195,0.247,0.248,0.251,0.25,0.25,0.247,40000,9944
sh900946,天雁B股,0.193,0.0,0.0,0.192,0.193,0.193,0.197,0.197,0.192,258100,49795
sh900947,振华Ｂ股,0.264,-0.003,-1.124,0.264,0.266,0.267,0.267,0.271,0.264,1963589,524875
sh900948,伊泰Ｂ股,2.199,0.009,0.411,2.198,2.199,2.19,2.189,2.202,2.183,1569322,3444951
sz200011,深物业B,2.81,-0.07,-2.431,2.81,2.82,2.88,2.88,2.88,2.81,68200,193116
sz200012,南 玻Ｂ,1.58,-0.01,-0.629,1.58,1.59,1.59,1.59,1.59,1.58,435006,688121
sz200016,深康佳Ｂ,0.81,-0.03,-3.571,0.81,0.82,0.84,0.82,0.82,0.81,612800,500738
sz200017,深中华B,1.74,0.01,0.578,1.73,1.74,1.73,1.72,1.75,1.72,48400,84107
sz200019,深粮B,3.6,-0.09,-2.439,3.58,3.6,3.69,3.69,3.69,3.57,258944,937959
sz200020,深华发Ｂ,2.97,-0.01,-0.336,2.96,2.97,2.98,2.99,2.99,2.97,88500,263658
sz200025,特 力Ｂ,4.51,0.0,0.0,4.48,4.51,4.51,4.47,4.51,4.46,48925,219321
sz200026,飞亚达Ｂ,6.97,0.13,1.901,6.95,6.97,6.84,6.75,7.01,6.72,147975,1021440
sz200028,一致Ｂ,14.01,0.07,0.502,13.98,14.01,13.94,13.96,14.02,13.95,208599,2920686
sz200029,深深房Ｂ,3.97,0.02,0.506,3.95,3.98,3.95,3.95,3.98,3.94,233700,926122
sz200030,富奥B,3.18,0.01,0.315,3.18,3.19,3.17,3.16,3.18,3.16,97600,310220
sz200037,深南电B,2.12,-0.02,-0.935,2.12,2.13,2.14,2.15,2.15,2.12,219800,468877
sz200045,深纺织Ｂ,4.61,-0.03,-0.647,4.6,4.61,4.64,4.64,4.64,4.6,9700,44726
sz200055,方大Ｂ,1.27,-0.01,-0.781,1.26,1.27,1.28,1.27,1.27,1.26,243574,308451
sz200056,皇庭B,0.74,-0.02,-2.632,0.74,0.75,0.76,0.75,0.76,0.74,159320,117950
sz200058,深赛格B,1.84,-0.01,-0.541,1.83,1.84,1.85,1.85,1.85,1.83,87800,161943
sz200429,粤高速Ｂ,8.94,-0.01,-0.112,8.91,8.94,8.95,8.95,8.96,8.9,485600,4336988
sz200468,宁通信B,4.44,0.01,0.226,4.41,4.44,4.43,4.47,4.47,4.39,105700,467266
sz200488,ST晨鸣B,0.89,0.0,0.0,0.88,0.89,0.89,0.89,0.9,0.88,767100,682172
sz200505,京粮B,1.99,0.01,0.505,1.97,1.99,1.98,1.97,1.99,1.95,49700,97887
sz200512,闽灿坤Ｂ,2.82,-0.01,-0.353,2.8,2.81,2.83,2.82,2.82,2.79,153473,430422
sz200521,虹美菱B,3.18,-0.03,-0.935,3.16,3.18,3.21,3.23,3.23,3.15,967200,3070925
sz200530,冰山B,1.68,-0.01,-0.592,1.68,1.69,1.69,1.68,1.7,1.68,240300,404696
sz200539,粤电力Ｂ,2.02,-0.01,-0.493,2.01,2.02,2.03,2.03,2.03,2.0,1228740,2475554
sz200541,粤照明Ｂ,2.07,-0.01,-0.481,2.06,2.07,2.08,2.08,2.08,2.06,230500,476239
sz200550,江 铃Ｂ,10.02,0.0,0.0,10.01,10.02,10.02,10.0,10.03,9.98,125644,1255963
sz200553,安道麦B,2.65,-0.03,-1.119,2.64,2.65,2.68,2.65,2.65,2.64,20300,53741
sz200570,苏常柴Ｂ,2.01,0.04,2.03,2.01,2.02,1.97,2.0,2.07,1.98,2730610,5578148
sz200581,苏威孚Ｂ,14.6,0.0,0.0,14.59,14.6,14.6,14.64,14.64,14.54,133200,1942060
sz200596,古井贡Ｂ,68.25,0.47,0.693,68.25,68.35,67.78,67.88,68.44,67.05,152753,10394738
sz200625,长 安Ｂ,3.97,-0.04,-0.998,3.97,3.98,4.01,4.02,4.03,3.96,3004560,12025756
sz200706,瓦轴B,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0,0
sz200725,京东方Ｂ,3.7,-0.1,-2.632,3.7,3.71,3.8,3.81,3.82,3.69,5988126,22371928
sz200726,鲁 泰Ｂ,4.95,-0.02,-0.402,4.95,4.97,4.97,4.97,4.97,4.94,80900,401451
sz200761,本钢板Ｂ,1.17,-0.03,-2.5,1.16,1.17,1.2,1.19,1.19,1.17,639000,752413
sz200869,张 裕Ｂ,7.61,0.01,0.132,7.6,7.61,7.6,7.62,7.62,7.56,104816,795711
