代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
06818,中国光大银行,3.14,0.32,0.01,3.14,3.14,6000.0,18840.0,3.14,3.13,3.14,3.14
01635,大众公用,3.13,0.32,0.01,3.13,3.13,12000.0,37560.0,3.13,3.12,3.13,3.13
02238,广汽集团,3.12,0.32,0.01,3.12,3.12,12000.0,37440.0,3.12,3.11,3.12,3.12
02202,万科企业,3.01,0.33,0.01,3.01,3.01,22200.0,66822.0,3.01,3.0,3.01,3.01
06806,申万宏源,2.88,0.7,0.02,2.88,2.88,17600.0,50688.0,2.88,2.86,2.88,2.88
03678,弘业期货,2.86,0.7,0.02,2.86,2.86,2000.0,5720.0,2.86,2.84,0.0,0.0
02068,中铝国际,2.67,0.75,0.02,2.67,2.67,5000.0,13350.0,2.67,2.65,2.67,2.67
00991,大唐发电,2.51,0.0,0.0,2.51,2.51,6000.0,15060.0,2.51,2.51,2.51,2.51
00895,东江环保,2.11,1.44,0.03,2.11,2.11,200.0,422.0,2.11,2.08,2.11,2.11
01375,中州证券,1.94,1.57,0.03,1.94,1.94,87000.0,168780.0,1.94,1.91,1.94,1.94
01618,中国中冶,1.61,0.63,0.01,1.61,1.61,61000.0,98210.0,1.61,1.6,1.61,1.61
00347,鞍钢股份,1.57,0.0,0.0,1.57,1.57,2000.0,3140.0,1.57,1.57,1.57,1.57
01528,红星美凯龙,1.3,0.78,0.01,1.3,1.3,400.0,520.0,1.3,1.29,1.3,1.3
03996,中国能源建设,1.25,0.0,0.0,1.25,1.25,104000.0,130000.0,1.25,1.25,1.25,1.25
02866,中远海发,1.19,0.0,0.0,1.19,1.19,4000.0,4760.0,1.19,1.19,1.19,1.19
01812,晨鸣纸业,1.13,0.0,0.0,1.13,1.13,16500.0,18645.0,1.13,1.13,1.13,1.13
02880,辽港股份,0.87,1.16,0.01,0.87,0.87,4000.0,3480.0,0.87,0.86,0.87,0.87
01033,中石化油服,0.84,0.0,0.0,0.84,0.84,536000.0,450240.0,0.84,0.84,0.84,0.84
00588,北京北辰实业股份,0.82,1.23,0.01,0.82,0.82,44000.0,36080.0,0.82,0.81,0.82,0.82
02009,金隅集团,0.79,0.0,0.0,0.79,0.79,103000.0,81370.0,0.79,0.79,0.79,0.79
03750,宁德时代,684.5,4.42,29.0,684.5,684.5,174500.0,119445250.0,684.5,655.5,684.5,684.5
03986,兆易创新,409.0,0.34,1.4,409.0,409.0,2300.0,940700.0,409.0,407.6,409.0,409.0
09980,东鹏饮料,206.0,0.0,0.0,206.0,206.0,100.0,20600.0,206.0,206.0,206.0,206.0
06869,长飞光纤光缆,203.0,-1.26,-2.6,203.0,203.0,32000.0,6496000.0,203.0,205.6,203.0,203.0
06809,澜起科技,202.4,0.0,0.0,202.4,202.4,4600.0,931040.0,202.4,202.4,202.4,202.4
06160,百济神州,193.0,1.31,2.5,193.0,193.0,96000.0,18407500.0,193.0,190.5,193.0,193.0
02359,药明康德,131.5,0.84,1.1,131.5,131.5,60600.0,7968570.0,131.5,130.4,131.5,131.5
03200,大族数控,131.2,0.92,1.2,131.2,131.2,2100.0,275520.0,131.2,130.0,131.2,131.2
01989,广合科技,128.2,-0.08,-0.1,128.2,128.2,3600.0,461520.0,128.2,128.3,128.2,128.2
09995,荣昌生物,121.0,2.28,2.7,121.0,121.0,82500.0,9982500.0,121.0,118.3,121.0,121.0
01304,峰岹科技,117.8,1.64,1.9,117.8,117.8,400.0,47120.0,117.8,115.9,117.8,117.8
01211,比亚迪股份,108.5,1.12,1.2,108.5,108.5,428300.0,46470550.0,108.5,107.3,108.5,108.5
06821,凯莱英,100.4,1.77,1.75,100.4,100.4,300.0,30120.0,100.4,98.65,100.4,100.4
01347,华虹半导体,91.05,0.72,0.65,91.05,91.05,32000.0,2913600.0,91.05,90.4,91.05,91.05
00300,美的集团,86.45,0.12,0.1,86.45,86.45,15900.0,1374535.0,86.45,86.35,86.45,86.45
06166,剑桥科技,85.95,-0.46,-0.4,85.95,85.95,9000.0,773550.0,85.95,86.35,85.95,85.95
00941,中国移动,81.35,0.0,0.0,81.35,81.35,32500.0,2643875.0,81.35,81.35,81.35,81.35
02648,安井食品,80.35,0.06,0.05,80.35,80.35,200.0,16070.0,80.35,80.3,80.35,80.35
09927,赛力斯,79.7,0.76,0.6,79.7,79.7,500.0,39850.0,79.7,79.1,79.7,79.7
01772,赣锋锂业,79.7,1.59,1.25,79.7,79.7,36200.0,2884890.0,79.7,78.45,79.7,79.7
00501,豪威集团,79.0,0.45,0.35,79.0,79.0,200.0,15800.0,79.0,78.65,79.0,79.0
01276,恒瑞医药,69.1,1.17,0.8,69.1,69.1,25400.0,1755140.0,69.1,68.3,69.1,69.1
01880,中国中免,66.4,1.07,0.7,66.4,66.4,3600.0,239040.0,66.4,65.7,66.4,66.4
02692,兆威机电,65.95,1.38,0.9,65.95,65.95,2800.0,184660.0,65.95,65.05,65.95,65.95
02318,中国平安,62.55,0.0,0.0,62.55,62.55,1632000.0,102308529.15,62.55,62.55,62.55,62.55
02315,百奥赛图-B,62.35,2.05,1.25,62.35,62.35,1000.0,62350.0,62.35,61.1,62.35,62.35
03606,福耀玻璃,61.75,-0.24,-0.15,61.75,61.75,3600.0,222300.0,61.75,61.9,61.75,61.75
00981,中芯国际,59.3,0.0,0.0,59.3,59.3,103500.0,6137550.0,59.3,59.3,59.3,59.3
02631,天岳先进,55.5,0.09,0.05,55.5,55.5,1400.0,77700.0,55.5,55.45,55.5,55.5
09696,天齐锂业,54.75,1.67,0.9,54.75,54.75,21600.0,1182600.0,54.75,53.85,54.75,54.75
00168,青岛啤酒股份,51.1,0.0,0.0,51.1,51.1,34000.0,1737400.0,0.0,51.1,0.0,0.0
03968,招商银行,51.0,0.39,0.2,51.0,51.0,272500.0,13897500.0,51.0,50.8,51.0,51.0
00470,先导智能,49.0,0.33,0.16,49.0,49.0,12700.0,662641.6,49.0,48.84,49.0,49.0
01336,新华保险,47.46,-0.04,-0.02,47.46,47.46,22600.0,1072596.0,47.46,47.48,47.46,47.46
01088,中国神华,45.6,0.0,0.0,45.6,45.6,16500.0,752400.0,45.6,45.6,45.6,45.6
03347,泰格医药,44.7,0.0,0.0,44.7,44.7,100.0,4470.0,44.7,44.7,44.7,44.7
02714,牧原股份,43.28,0.65,0.28,43.28,43.28,4300.0,186104.0,43.28,43.0,43.28,43.28
06693,赤峰黄金,42.5,1.67,0.7,42.5,42.5,10200.0,433500.0,42.5,41.8,42.5,42.5
01072,东方电气,39.86,1.84,0.72,39.86,39.86,60000.0,2391600.0,39.86,39.14,39.86,39.86
02579,中伟新材,39.36,2.77,1.06,39.36,39.36,1000.0,39360.0,39.36,38.3,39.36,39.36
00358,江西铜业股份,39.0,-0.46,-0.18,39.0,39.0,143000.0,5577000.0,39.0,39.18,39.0,39.0
03898,时代电气,38.62,1.1,0.42,38.62,38.62,700.0,27034.0,38.62,38.2,38.62,38.62
02899,紫金矿业,38.0,0.05,0.02,38.0,38.0,832000.0,31626373.0,38.0,37.98,38.0,38.0
03288,海天味业,36.66,0.44,0.16,36.66,36.66,400.0,14664.0,36.66,36.5,36.66,36.66
06936,顺丰控股,36.4,0.72,0.26,36.4,36.4,7000.0,254800.0,36.4,36.14,36.4,36.4
06185,康希诺生物,34.34,0.29,0.1,34.34,34.34,200.0,6868.0,34.34,34.24,34.34,34.34
02601,中国太保,33.84,-0.06,-0.02,33.84,33.84,19200.0,649728.0,33.84,33.86,33.84,33.84
01787,山东黄金,33.3,0.6,0.2,33.3,33.3,11250.0,374625.0,33.3,33.1,33.3,33.3
02338,潍柴动力,33.14,2.6,0.84,33.14,33.14,288000.0,9544320.0,33.14,32.3,33.14,33.14
02865,钧达股份,31.8,0.06,0.02,31.8,31.8,21800.0,693240.0,31.8,31.78,31.8,31.8
02050,三花智控,31.72,2.19,0.68,31.72,31.72,736100.0,23135510.8,31.72,31.04,31.72,31.72
01513,丽珠医药,29.34,0.0,0.0,29.34,29.34,300.0,8802.0,29.34,29.34,29.34,29.34
01877,君实生物,27.6,0.36,0.1,27.6,27.6,4200.0,115920.0,27.6,27.5,27.6,27.6
02628,中国人寿,27.42,0.0,0.0,27.42,27.42,125000.0,3427500.0,27.42,27.42,27.42,27.42
06030,中信证券,27.2,1.19,0.32,27.2,27.2,49500.0,1346400.0,27.2,26.88,27.2,27.2
00883,中国海洋石油,26.34,0.46,0.12,26.34,26.34,101000.0,2660340.0,26.34,26.22,26.34,26.34
09611,龙旗科技,24.66,0.57,0.14,24.66,24.66,1200.0,29592.0,24.66,24.52,24.66,24.66
00763,中兴通讯,23.96,0.0,0.0,23.96,23.96,35800.0,857768.0,23.96,23.96,23.96,23.96
03268,美格智能,23.18,2.39,0.54,23.18,23.18,24600.0,570228.0,23.18,22.64,23.18,23.18
06127,昭衍新药,22.8,-0.09,-0.02,22.8,22.8,10900.0,248520.0,22.8,22.82,22.8,22.8
06031,三一重工,22.02,-0.81,-0.18,22.02,22.02,200.0,4404.0,22.02,22.2,22.02,22.02
03759,康龙化成,21.88,1.39,0.3,21.88,21.88,3800.0,83144.0,21.88,21.58,21.88,21.88
00921,海信家电,21.36,1.04,0.22,21.36,21.36,2000.0,42720.0,21.36,21.14,21.36,21.36
00914,海螺水泥,20.9,0.0,0.0,20.9,20.9,18000.0,376200.0,20.9,20.9,20.9,20.9
06680,金力永磁,20.9,1.55,0.32,20.9,20.9,6800.0,142120.0,20.9,20.58,20.9,20.9
06690,海尔智家,20.8,-0.57,-0.12,20.8,20.8,130600.0,2716480.0,20.8,20.92,20.8,20.8
03908,中金公司,20.02,3.95,0.76,20.02,20.02,921200.0,18442424.0,20.02,19.26,20.02,20.02
09981,沃尔核材,19.6,1.77,0.34,19.6,19.6,5000.0,98000.0,19.6,19.26,19.6,19.6
03993,洛阳钼业,19.32,0.0,0.0,19.32,19.32,846000.0,16349856.0,19.32,19.32,19.32,19.32
00564,中创智领,18.65,-0.32,-0.06,18.65,18.65,8600.0,160390.0,18.65,18.71,18.65,18.65
01138,中远海能,18.63,0.0,0.0,18.63,18.63,56000.0,1043280.0,18.63,18.63,18.63,18.63
06613,蓝思科技,18.15,-7.68,-1.51,18.15,18.15,646200.0,11728530.0,18.15,19.66,18.15,18.15
06655,华新建材,17.5,0.11,0.02,17.5,17.5,100.0,1750.0,17.5,17.48,17.5,17.5
00699,均胜电子,16.4,2.12,0.34,16.4,16.4,26000.0,426400.0,16.4,16.06,16.4,16.4
06886,华泰证券,15.99,0.0,0.0,15.99,15.99,1027800.0,16465322.0,15.99,15.99,15.99,15.99
09969,诺诚健华,15.62,0.39,0.06,15.62,15.62,7000.0,109340.0,15.62,15.56,15.62,15.62
02465,龙蟠科技,15.24,14.85,1.97,15.24,15.24,1066500.0,16253460.0,15.24,13.27,15.24,15.24
02208,金风科技,15.2,1.54,0.23,15.2,15.2,67000.0,1018400.0,15.2,14.97,15.2,15.2
01919,中远海控,15.15,0.07,0.01,15.15,15.15,24000.0,363595.0,15.15,15.14,15.15,15.15
01171,兖矿能源,14.92,1.5,0.22,14.92,14.92,2000.0,29840.0,14.92,14.7,14.92,14.92
00317,中船防务,14.59,1.89,0.27,14.59,14.59,4000.0,58360.0,14.59,14.32,14.59,14.59
02611,国泰海通,14.22,0.0,0.0,14.22,14.22,49200.0,699624.0,14.22,14.22,14.22,14.22
06099,招商证券,14.0,0.86,0.12,14.0,14.0,2200.0,30800.0,14.0,13.88,14.0,14.0
01898,中煤能源,13.54,0.07,0.01,13.54,13.54,3000.0,40620.0,13.54,13.53,13.54,13.54
