代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.762,0.011,1.465,0.762,0.763,0.751,0.752,0.764,0.752,1049714,798278
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,552600,93182
sh900903,大众Ｂ股,0.188,0.0,0.0,0.188,0.189,0.188,0.188,0.189,0.187,461525,86603
sh900904,神奇B股,0.493,-0.003,-0.605,0.492,0.493,0.496,0.493,0.501,0.486,76854,37667
sh900905,老凤祥Ｂ,3.372,0.008,0.238,3.372,3.373,3.364,3.363,3.372,3.36,53595,180392
sh900906,中毅达B,0.276,0.0,0.0,0.276,0.277,0.276,0.276,0.279,0.275,158400,43774
sh900908,氯碱Ｂ股,0.692,0.0,0.0,0.693,0.694,0.692,0.693,0.695,0.691,136100,94265
sh900909,华谊B股,0.527,-0.001,-0.189,0.527,0.53,0.528,0.529,0.53,0.521,168400,88697
sh900910,海立Ｂ股,0.571,0.002,0.351,0.57,0.571,0.569,0.568,0.574,0.563,330112,187963
sh900911,金桥Ｂ股,0.771,0.007,0.916,0.77,0.771,0.764,0.764,0.772,0.764,353654,272005
sh900912,外高Ｂ股,0.695,0.007,1.017,0.692,0.695,0.688,0.688,0.698,0.686,461400,320371
sh900913,国新B股,0.216,-0.001,-0.461,0.214,0.216,0.217,0.212,0.218,0.212,219916,46790
sh900914,锦在线B,0.478,0.002,0.42,0.477,0.478,0.476,0.475,0.483,0.475,174900,83863
sh900915,中路Ｂ股,0.355,-0.004,-1.114,0.357,0.359,0.359,0.359,0.359,0.355,46640,16581
sh900916,凤凰B股,0.385,-0.001,-0.259,0.385,0.387,0.386,0.388,0.388,0.385,53400,20642
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.275,0.272,240500,65729
sh900918,耀皮Ｂ股,0.351,0.001,0.286,0.35,0.351,0.35,0.352,0.353,0.35,81800,28774
sh900920,动力Ｂ股,0.384,0.006,1.587,0.38,0.384,0.378,0.38,0.385,0.373,879936,334333
sh900921,金煤B股,0.178,-0.001,-0.559,0.178,0.18,0.179,0.178,0.18,0.176,556374,99042
sh900922,三毛B股,0.711,0.004,0.566,0.71,0.711,0.707,0.733,0.733,0.711,66000,47233
sh900923,百联Ｂ股,0.495,-0.003,-0.602,0.495,0.496,0.498,0.498,0.498,0.49,281750,138594
sh900924,上工Ｂ股,0.346,-0.006,-1.705,0.348,0.352,0.352,0.349,0.352,0.346,120822,42232
sh900925,机电Ｂ股,1.414,-0.005,-0.352,1.414,1.418,1.419,1.419,1.43,1.408,297500,421644
sh900926,宝信Ｂ,1.023,0.011,1.087,1.023,1.025,1.012,1.012,1.032,1.008,731379,746522
sh900927,物贸Ｂ股,0.361,0.0,0.0,0.361,0.364,0.361,0.361,0.365,0.361,55700,20115
sh900928,临港B股,0.65,0.0,0.0,0.65,0.651,0.65,0.65,0.654,0.645,126000,81780
sh900929,锦旅Ｂ股,1.129,-0.004,-0.353,1.129,1.135,1.133,1.13,1.136,1.129,27904,31558
sh900932,陆家Ｂ股,0.403,0.0,0.0,0.402,0.403,0.403,0.403,0.405,0.402,293917,118431
sh900934,锦江Ｂ股,1.517,0.012,0.797,1.517,1.518,1.505,1.51,1.519,1.508,134250,203076
sh900936,鄂资Ｂ股,1.247,0.03,2.465,1.247,1.248,1.217,1.213,1.248,1.213,1069405,1324726
sh900937,华电B股,0.167,-0.003,-1.765,0.167,0.168,0.17,0.168,0.169,0.167,1469100,246477
sh900938,海科B,0.229,-0.001,-0.435,0.229,0.23,0.23,0.23,0.23,0.229,45912,10520
sh900939,汇丽B,0.592,-0.012,-1.987,0.592,0.593,0.604,0.596,0.598,0.589,316300,187769
sh900940,大名城B,0.244,0.005,2.092,0.242,0.244,0.239,0.239,0.245,0.238,404258,97575
sh900941,东信Ｂ股,0.502,0.006,1.21,0.502,0.503,0.496,0.502,0.504,0.498,951224,477533
sh900942,黄山Ｂ股,0.712,-0.001,-0.14,0.712,0.714,0.713,0.711,0.713,0.709,48300,34327
sh900943,开开Ｂ股,0.439,-0.003,-0.679,0.439,0.44,0.442,0.438,0.442,0.438,7000,3079
sh900945,海控B股,0.248,0.0,0.0,0.247,0.248,0.248,0.248,0.248,0.247,24300,6022
sh900946,天雁B股,0.195,0.002,1.036,0.193,0.195,0.193,0.198,0.198,0.192,130000,25043
sh900947,振华Ｂ股,0.266,0.002,0.758,0.265,0.266,0.264,0.264,0.267,0.263,810500,215422
sh900948,伊泰Ｂ股,2.21,0.011,0.5,2.209,2.21,2.199,2.196,2.215,2.196,839700,1856456
sz200011,深物业B,2.81,0.0,0.0,2.81,2.82,2.81,2.81,2.85,2.81,77900,219367
sz200012,南 玻Ｂ,1.59,0.01,0.633,1.58,1.59,1.58,1.58,1.59,1.57,390891,617184
sz200016,深康佳Ｂ,0.8,-0.01,-1.235,0.8,0.81,0.81,0.8,0.82,0.8,608460,491364
sz200017,深中华B,1.75,0.01,0.575,1.74,1.75,1.74,1.75,1.75,1.73,61774,107755
sz200019,深粮B,3.62,0.02,0.556,3.6,3.62,3.6,3.58,3.62,3.58,98000,351450
sz200020,深华发Ｂ,2.96,-0.01,-0.337,2.96,2.98,2.97,2.96,2.96,2.96,29201,86435
sz200025,特 力Ｂ,4.47,-0.04,-0.887,4.47,4.5,4.51,4.49,4.53,4.45,83360,374196
sz200026,飞亚达Ｂ,6.92,-0.05,-0.717,6.91,6.92,6.97,6.86,6.96,6.85,48100,332065
sz200028,一致Ｂ,13.97,-0.04,-0.286,13.97,13.99,14.01,14.02,14.03,13.96,140724,1967814
sz200029,深深房Ｂ,3.96,-0.01,-0.252,3.94,3.96,3.97,3.97,3.97,3.91,84400,332042
sz200030,富奥B,3.19,0.01,0.314,3.18,3.2,3.18,3.19,3.2,3.17,100100,319418
sz200037,深南电B,2.17,0.05,2.358,2.15,2.17,2.12,2.12,2.17,2.12,469212,1005910
sz200045,深纺织Ｂ,4.5,-0.11,-2.386,4.5,4.55,4.61,4.58,4.58,4.5,176000,798386
sz200055,方大Ｂ,1.27,0.0,0.0,1.27,1.28,1.27,1.26,1.27,1.26,71101,89763
sz200056,皇庭B,0.75,0.01,1.351,0.74,0.75,0.74,0.74,0.75,0.74,64900,48404
sz200058,深赛格B,1.84,0.0,0.0,1.83,1.84,1.84,1.84,1.84,1.83,27100,49801
sz200429,粤高速Ｂ,8.9,-0.04,-0.447,8.89,8.9,8.94,8.91,8.96,8.87,386900,3441204
sz200468,宁通信B,4.45,0.01,0.225,4.43,4.46,4.44,4.44,4.45,4.4,61300,271691
sz200488,ST晨鸣B,0.89,0.0,0.0,0.88,0.89,0.89,0.9,0.9,0.88,361802,320456
sz200505,京粮B,1.97,-0.02,-1.005,1.97,1.98,1.99,2.0,2.0,1.97,50330,99263
sz200512,闽灿坤Ｂ,2.69,-0.13,-4.61,2.68,2.69,2.82,2.78,2.78,2.68,469767,1277519
sz200521,虹美菱B,3.09,-0.09,-2.83,3.09,3.1,3.18,3.18,3.18,3.08,1139600,3554697
sz200530,冰山B,1.69,0.01,0.595,1.69,1.7,1.68,1.69,1.7,1.68,176870,297933
sz200539,粤电力Ｂ,2.02,0.0,0.0,2.01,2.02,2.02,2.02,2.02,2.0,424060,853551
sz200541,粤照明Ｂ,2.07,0.0,0.0,2.07,2.08,2.07,2.07,2.08,2.06,57580,119396
sz200550,江 铃Ｂ,10.02,0.0,0.0,10.02,10.04,10.02,10.02,10.05,10.01,107000,1073451
sz200553,安道麦B,2.6,-0.05,-1.887,2.61,2.63,2.65,2.65,2.65,2.6,137600,362402
sz200570,苏常柴Ｂ,2.09,0.08,3.98,2.09,2.1,2.01,1.99,2.11,1.99,2423936,5033752
sz200581,苏威孚Ｂ,14.47,-0.13,-0.89,14.45,14.47,14.6,14.61,14.61,14.45,97400,1412439
sz200596,古井贡Ｂ,68.78,0.53,0.777,68.72,68.79,68.25,68.25,68.87,68.25,71900,4936521
sz200625,长 安Ｂ,4.01,0.04,1.008,4.0,4.01,3.97,3.97,4.02,3.97,1873448,7506184
sz200706,瓦轴B,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0,0
sz200725,京东方Ｂ,3.78,0.08,2.162,3.77,3.78,3.7,3.74,3.8,3.74,2582158,9756213
sz200726,鲁 泰Ｂ,4.95,0.0,0.0,4.95,4.96,4.95,4.97,4.97,4.94,45100,223268
sz200761,本钢板Ｂ,1.17,0.0,0.0,1.17,1.18,1.17,1.17,1.18,1.16,474400,555274
sz200869,张 裕Ｂ,7.64,0.03,0.394,7.64,7.65,7.61,7.61,7.64,7.61,63720,486160
sz200992,中 鲁Ｂ,2.25,-0.01,-0.442,2.23,2.25,2.26,2.26,2.26,2.22,24700,55421
sz201872,招港B,16.33,-0.01,-0.061,16.33,16.35,16.34,16.32,16.37,16.32,41300,675302
