代码,名称,最新价,涨跌额,涨跌幅(%),买入,卖出,昨收,今开,最高,最低,成交量(手),成交额,时间戳
bj920000,安徽凤凰,15.82,0.09,0.572,15.83,15.88,15.73,15.76,15.92,15.75,357866.0,5675427.0,13:52:32
bj920001,纬达光电,15.43,-0.07,-0.452,15.41,15.43,15.5,15.65,15.65,15.39,840581.0,12970395.0,13:52:32
bj920002,万达轴承,84.24,0.63,0.753,84.15,84.25,83.61,85.0,85.3,83.5,364598.0,30703588.0,13:52:32
bj920003,中诚咨询,27.58,-0.06,-0.217,27.58,27.63,27.64,27.47,27.67,27.46,46849.0,1290611.0,13:52:32
bj920005,鼎佳精密,36.12,-0.14,-0.386,36.12,36.13,36.26,36.53,36.53,36.06,249910.0,9060584.0,13:52:32
bj920006,晟楠科技,22.22,-0.11,-0.493,22.22,22.26,22.33,22.43,22.43,22.14,558361.0,12410369.0,13:52:32
bj920007,酉立智能,54.26,-1.75,-3.124,54.23,54.26,56.01,55.32,55.32,53.5,369291.0,20004682.0,13:52:32
bj920008,成电光信,25.4,-0.02,-0.079,25.4,25.42,25.42,25.35,25.55,25.24,491449.0,12454975.0,13:52:32
bj920009,丹娜生物,65.83,-0.17,-0.258,65.83,65.94,66.0,65.55,66.69,65.55,122344.0,8075494.0,13:52:32
bj920010,凯添燃气,11.87,0.42,3.668,11.86,11.87,11.45,11.46,11.98,11.2,12450124.0,144293490.0,13:52:32
bj920011,晨光电机,25.02,-0.33,-1.302,25.02,25.04,25.35,25.35,25.4,24.92,2645378.0,66226736.0,13:52:32
bj920012,创达新材,48.43,-3.45,-6.65,48.43,48.49,51.88,50.5,50.9,48.34,4677438.0,232155385.0,13:52:32
bj920014,特瑞斯,12.6,0.18,1.449,12.59,12.6,12.42,12.47,12.65,12.32,1613275.0,20082645.0,13:52:32
bj920015,锦华新材,40.17,0.38,0.955,39.99,40.11,39.79,40.4,40.4,39.69,812423.0,32441982.0,13:52:32
bj920016,中草香料,16.69,0.04,0.24,16.67,16.68,16.65,16.7,16.72,16.39,360010.0,5957127.0,13:52:32
bj920017,星昊医药,17.38,-0.22,-1.25,17.38,17.39,17.6,17.56,17.56,17.29,1155931.0,20088405.0,13:52:32
bj920018,宏远股份,28.2,-0.09,-0.318,28.16,28.2,28.29,28.28,28.29,27.71,1070922.0,29975251.0,13:52:32
bj920019,铜冠矿建,18.04,-0.04,-0.221,18.04,18.05,18.08,18.18,18.18,17.87,1007465.0,18138493.0,13:52:32
bj920020,泰凯英,15.36,-0.08,-0.518,15.36,15.39,15.44,15.5,15.51,15.3,363280.0,5586671.0,13:52:32
bj920021,流金科技,10.61,0.34,3.311,10.59,10.61,10.27,10.43,10.79,10.37,17736495.0,187255101.0,13:52:32
bj920022,世昌股份,26.52,-0.17,-0.637,26.53,26.6,26.69,26.85,26.85,26.35,249980.0,6634223.0,13:52:32
bj920023,田野股份,3.1,0.05,1.639,3.09,3.1,3.05,3.05,3.11,2.98,9137514.0,27783652.0,13:52:32
bj920026,卓兆点胶,35.97,-0.2,-0.553,35.95,35.98,36.17,36.68,36.88,35.83,760511.0,27587748.0,13:52:32
bj920027,交大铁发,18.03,0.09,0.502,18.01,18.03,17.94,17.98,18.08,17.9,591954.0,10645265.0,13:52:32
bj920028,新恒泰,15.48,-0.35,-2.211,15.48,15.49,15.83,15.84,15.89,15.35,3422551.0,52931176.0,13:52:32
bj920029,开发科技,85.56,0.24,0.281,85.4,85.55,85.32,86.11,86.11,85.07,183578.0,15667979.0,13:52:32
bj920030,德众汽车,5.49,0.02,0.366,5.48,5.49,5.47,5.47,5.55,5.43,880756.0,4836167.0,13:52:32
bj920033,康普化学,15.15,0.24,1.61,15.12,15.15,14.91,14.91,15.19,14.91,350108.0,5279786.0,13:52:32
bj920035,精创电气,33.18,-0.5,-1.485,33.18,33.19,33.68,33.88,33.88,32.95,348996.0,11599549.0,13:52:32
bj920036,觅睿科技,44.27,-1.74,-3.782,44.26,44.35,46.01,45.81,46.25,44.05,1606448.0,71824997.0,13:52:32
bj920037,广信科技,73.02,-0.75,-1.017,73.02,73.09,73.77,74.48,74.48,72.6,649026.0,47418800.0,13:52:32
bj920039,国义招标,9.57,0.05,0.525,9.57,9.58,9.52,9.55,9.58,9.49,297823.0,2841917.0,13:52:32
bj920045,蘅东光,441.3,0.1,0.023,441.4,442.96,441.2,440.0,443.99,427.51,599825.0,260724645.0,13:52:32
bj920046,亿能电力,25.39,-0.16,-0.626,25.35,25.39,25.55,26.2,26.39,24.68,4894827.0,123004765.0,13:52:32
bj920047,诺思兰德,34.85,-0.04,-0.115,34.83,34.85,34.89,34.7,34.9,33.85,4927344.0,169620286.0,13:52:32
bj920050,爱舍伦,31.7,0.06,0.19,31.62,31.7,31.64,31.88,31.88,31.53,222720.0,7042625.0,13:52:32
bj920055,隆源股份,33.03,-0.41,-1.226,33.03,33.09,33.44,33.77,33.77,32.84,1488422.0,49250570.0,13:52:32
bj920056,能之光,22.6,0.35,1.573,22.57,22.6,22.25,23.45,23.89,22.55,1146562.0,26550158.0,13:52:32
bj920057,百甲科技,6.13,0.03,0.492,6.12,6.13,6.1,6.12,6.17,6.09,394170.0,2417420.0,13:52:32
bj920058,华洋赛车,27.59,0.07,0.254,27.54,27.64,27.52,27.79,27.79,27.2,214061.0,5870293.0,13:52:32
