日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
2026/04/16 11:59:15,00001,长和,CKH HOLDINGS,,64.1,0.15,0.23456,63.95,64.35,65.0,63.9,3148269,202486888,64.0,64.1
2026/04/16 11:59:33,00002,中电控股,CLP HOLDINGS,,74.3,-0.1,-0.13441,74.4,74.6,75.1,74.05,1336698,99460484,74.25,74.3
2026/04/16 11:59:53,00003,香港中华煤气,HK & CHINA GAS,,7.27,0.0,0.0,7.27,7.27,7.32,7.24,9187997,66842584,7.26,7.27
2026/04/16 11:59:11,00004,九龙仓集团,WHARF HOLDINGS,,21.92,0.14,0.64279,21.78,21.66,21.96,21.44,825691,17942145,21.9,21.92
2026/04/16 11:59:55,00005,汇丰控股,HSBC HOLDINGS,,141.8,0.4,0.28289,141.4,141.3,142.1,141.0,3339169,473413194,141.7,141.8
2026/04/16 11:58:26,00006,电能实业,POWER ASSETS,,63.4,-0.3,-0.47096,63.7,63.7,64.15,63.3,719697,45733330,63.35,63.45
2026/04/16 08:55:00,00007,智富资源投资,WISDOM WEALTH,,0.032,0.0,0.0,0.032,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/16 11:59:17,00008,电讯盈科,PCCW,,6.04,0.05,0.83473,5.99,5.97,6.04,5.97,1688477,10149918,6.02,6.04
2026/04/16 11:59:38,00010,恒隆集团,HANG LUNG GROUP,,16.56,-0.45,-2.6455,17.01,16.9,16.9,16.43,290000,4828920,16.58,16.61
2026/04/16 11:59:49,00012,恒基地产,HENDERSON LAND,,30.2,-0.44,-1.43603,30.64,30.58,30.78,30.2,2258610,68507379,30.2,30.22
2026/04/16 11:58:55,00013,和黄医药,HUTCHMED,,24.06,-0.24,-0.98765,24.3,24.08,24.36,23.88,1488993,35799957,24.02,24.06
2026/04/16 11:59:46,00014,希慎兴业,HYSAN DEV,,18.96,-0.36,-1.86335,19.32,19.32,19.33,18.95,727627,13873348,18.95,18.96
2026/04/16 11:59:08,00016,新鸿基地产,SHK PPT,,137.2,-0.3,-0.21818,137.5,136.9,138.2,136.0,2658264,364396365,137.2,137.3
2026/04/16 11:57:58,00017,新世界发展,NEW WORLD DEV,,8.82,0.04,0.45558,8.78,8.81,8.87,8.74,890149,7844776,8.78,8.82
2026/04/16 11:36:55,00018,东方传媒集团,ORIENTAL M G,,0.28,-0.01,-3.44828,0.29,0.29,0.29,0.28,14000,4020,0.28,0.295
2026/04/16 11:59:34,00019,太古股份公司Ａ,SWIRE PACIFIC A,,85.5,-0.25,-0.29155,85.75,85.75,87.75,85.0,307201,26375952,85.2,85.5
2026/04/16 12:00:00,00020,商汤－Ｗ,SENSETIME-W,,2.09,0.04,1.95122,2.05,2.06,2.09,2.05,140894551,291755500,2.08,2.09
2026/04/16 11:59:33,00021,大中华控股,GREAT CHI HLDGS,,0.075,0.0,0.0,0.075,0.0,0.0,0.0,0,0,0.072,0.081
2026/04/16 11:59:44,00022,茂盛控股,MEXAN,,0.275,0.0,0.0,0.275,0.28,0.28,0.275,9940000,2742600,0.275,0.28
2026/04/16 11:56:24,00023,东亚银行,BANK OF E ASIA,,13.64,-0.16,-1.15942,13.8,13.63,13.72,13.61,382660,5225798,13.63,13.64
2026/04/16 11:59:27,00025,CHEVALIER INT'L,CHEVALIER INT'L,,4.05,0.0,0.0,4.05,0.0,0.0,0.0,0,0,4.05,4.3
2026/04/16 11:29:17,00026,中华汽车,CHINA MOTOR BUS,,57.05,0.0,0.0,57.05,0.0,0.0,0.0,0,0,56.8,58.0
2026/04/16 12:31:00,00027,银河娱乐,GALAXY ENT,,35.12,0.56,1.62037,34.56,34.74,35.14,34.62,3506819,122218401,35.08,35.14
2026/04/16 11:59:35,00028,天安,TIAN AN,,4.34,-0.07,-1.5873,4.41,4.34,4.34,4.34,3000,13020,4.35,4.45
2026/04/16 11:36:16,00029,达力集团,DYNAMIC HOLD,,11.1,0.0,0.0,11.1,11.1,11.1,11.1,8120,90110,11.03,11.34
2026/04/16 11:16:36,00030,云白国际,YNBY INTL,,0.255,0.0,0.0,0.255,0.255,0.255,0.25,104000,26270,0.25,0.255
2026/04/16 11:57:31,00031,航天控股,CHINA AEROSPACE,,0.49,0.0,0.0,0.49,0.49,0.49,0.48,2612000,1265340,0.485,0.49
2026/04/16 11:16:39,00032,港通控股,CROSS-HAR(HOLD),,8.48,0.01,0.11806,8.47,8.47,8.48,8.47,16200,137252,8.5,8.7
2026/04/16 08:55:00,00033,INTL GENIUS,INTL GENIUS,,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/16 11:57:00,00034,九龙建业,KOWLOON DEV,,4.7,0.06,1.2931,4.64,4.64,4.7,4.64,89000,415810,4.67,4.7
2026/04/16 10:31:11,00035,远东发展,FE CONSORT INTL,,0.77,-0.01,-1.28205,0.78,0.78,0.78,0.77,107000,82960,0.77,0.78
2026/04/16 08:55:00,00036,远东控股国际,FE HLDGS INTL,,0.275,0.0,0.0,0.275,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/16 10:36:31,00037,远东酒店实业,FE HOTELS,,0.53,0.0,0.0,0.53,0.53,0.53,0.53,20000,10600,0.52,0.53
2026/04/16 11:58:45,00038,第一拖拉机股份,FIRST TRACTOR,,8.18,-0.01,-0.1221,8.19,8.27,8.35,8.1,2328735,19011167,8.18,8.21
2026/04/16 08:55:00,00039,中国北大荒,CH BEIDAHUANG,,0.045,0.0,0.0,0.045,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/16 09:30:19,00040,金山科技工业,GOLD PEAK,,0.69,0.0,0.0,0.69,0.0,0.0,0.0,0,0,0.69,0.7
2026/04/16 11:59:58,00041,鹰君,GREAT EAGLE H,,17.79,-0.09,-0.50336,17.88,17.64,17.83,17.64,99000,1757490,17.71,17.8
2026/04/16 10:59:49,00042,东北电气,NE ELECTRIC,,0.41,0.005,1.23457,0.405,0.41,0.42,0.405,646000,267990,0.405,0.415
2026/04/16 11:44:21,00045,大酒店,HK&S HOTELS,,6.01,0.04,0.67002,5.97,5.98,6.01,5.97,38500,230095,5.98,6.0
2026/04/16 11:54:55,00046,科联系统,COMPUTER & TECH,,1.21,-0.03,-2.41936,1.24,1.25,1.25,1.21,46000,56500,1.21,1.25
2026/04/16 11:59:27,00048,中国汽车内饰,C AUTO INT DECO,,0.249,0.0,0.0,0.249,0.0,0.0,0.0,0,0,0.24,0.25
2026/04/16 11:07:47,00050,香港小轮（集团）,HK FERRY (HOLD),,5.11,0.0,0.0,5.11,5.11,5.11,5.11,7000,35770,5.12,5.16
2026/04/16 11:59:30,00051,海港企业,HARBOUR CENTRE,,4.42,0.0,0.0,4.42,0.0,0.0,0.0,0,0,4.32,4.45
2026/04/16 11:51:13,00052,大快活集团,FAIRWOOD HOLD,,3.99,-0.03,-0.74627,4.02,4.01,4.01,3.98,52000,207615,3.98,3.99
2026/04/16 10:17:39,00053,国浩集团,GUOCO GROUP,,68.9,0.0,0.0,68.9,0.0,0.0,0.0,0,0,68.7,69.8
2026/04/16 11:41:03,00055,中星集团控股,NEWAY GROUP,,0.184,-0.005,-2.6455,0.189,0.195,0.195,0.13,870000,147960,0.178,0.182
2026/04/16 11:14:27,00057,震雄集团,CHEN HSONG HOLD,,1.62,0.02,1.25,1.6,1.61,1.62,1.61,104000,168260,1.61,1.62
2026/04/16 10:51:41,00058,新威国际,SUNWAY INT'L,,0.28,-0.03,-9.67742,0.31,0.295,0.295,0.28,100000,28300,0.28,0.305
2026/04/16 08:55:00,00059,天誉置业,SKYFAME REALTY,,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/16 09:30:11,00060,香港食品投资,HK FOOD INV,,0.495,0.0,0.0,0.495,0.0,0.0,0.0,0,0,0.485,0.495
2026/04/16 10:50:13,00061,绿领控股,GREEN LEADER,,0.069,0.0,0.0,0.069,0.0,0.0,0.0,0,0,0.07,0.071
2026/04/16 11:23:11,00062,载通,TRANSPORT INT'L,,10.89,-0.03,-0.27473,10.92,10.93,10.93,10.82,26609,289477,10.86,10.89
2026/04/16 11:00:23,00063,中亚烯谷集团,CHI ASIA VALLEY,,0.047,0.0,0.0,0.047,0.0,0.0,0.0,0,0,0.044,0.048
2026/04/16 11:55:40,00064,结好控股,GET NICE,,3.1,0.01,0.32363,3.09,3.1,3.1,3.07,22150,68296,3.08,3.1
2026/04/16 09:40:53,00065,弘海高新资源,GRAND OCEAN AR,,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0,0,0.29,0.31
2026/04/16 11:59:21,00066,港铁公司,MTR CORPORATION,,34.46,0.46,1.35294,34.0,33.82,34.46,33.72,2864222,97626430,34.44,34.46
2026/04/16 11:55:41,00069,香格里拉（亚洲）,SHANGRI-LA ASIA,,4.47,-0.02,-0.44543,4.49,4.49,4.49,4.45,224000,1002240,4.46,4.47
2026/04/16 09:45:12,00070,金粤控股,RICH GOLDMAN,,0.054,0.0,0.0,0.054,0.0,0.0,0.0,0,0,0.049,0.054
2026/04/16 11:34:43,00071,美丽华酒店,MIRAMAR HOTEL,,10.88,0.11,1.02136,10.77,10.8,10.88,10.8,2000,21680,10.81,10.88
2026/04/16 11:59:18,00072,超媒体控股,META MEDIA,,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,0,0.216,0.295
2026/04/16 10:28:20,00073,亚洲果业,ASIAN CITRUS,,1.8,0.0,0.0,1.8,0.0,0.0,0.0,0,0,1.87,2.01
2026/04/16 10:03:40,00075,渝太地产,Y.T. REALTY,,0.147,-0.003,-2.0,0.15,0.147,0.147,0.147,2000,294,0.147,0.147
2026/04/16 11:57:01,00076,谊砾控股,ELATE HOLDINGS,,0.168,0.002,1.20482,0.166,0.168,0.168,0.168,20811,3484,0.161,0.168
2026/04/16 09:04:28,00077,进智公共交通,AMS TRANSPORT,,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0,0,0.42,0.43
2026/04/16 10:38:51,00078,REGAL INT'L,REGAL INT'L,,0.52,-0.01,-1.88679,0.53,0.51,0.52,0.51,9000,4610,0.51,0.53
2026/04/16 11:59:27,00079,世纪建业,CENTURY LEGEND,,0.083,0.0,0.0,0.083,0.0,0.0,0.0,0,0,0.078,0.086
2026/04/16 11:53:05,00080,ＣＡＩ控股,CAI CORP,,0.4,0.0,0.0,0.4,0.4,0.4,0.395,660000,261250,0.395,0.405
2026/04/16 11:59:06,00081,中国海外宏洋集团,CH OVS G OCEANS,,2.74,0.06,2.23881,2.68,2.68,2.75,2.68,2288000,6234050,2.72,2.74
2026/04/16 11:42:00,00082,疯狂体育,CRAZY SPORTS,,0.084,0.0,0.0,0.084,0.083,0.084,0.082,202000,16588,0.082,0.084
2026/04/16 11:59:15,00083,信和置业,SINO LAND,,11.82,0.0,0.0,11.82,11.93,11.93,11.74,608315,7179633,11.8,11.82
2026/04/16 09:04:27,00084,宝光实业,STELUX HOLDINGS,,0.069,0.0,0.0,0.069,0.0,0.0,0.0,0,0,0.063,0.069
2026/04/16 11:53:07,00085,中电华大科技,CE HUADA TECH,,1.18,0.01,0.8547,1.17,1.19,1.21,1.17,1140000,1358800,1.18,1.19
2026/04/16 11:59:46,00086,新鸿基公司,SUN HUNG KAI CO,,4.3,-0.03,-0.69284,4.33,4.28,4.3,4.27,74000,316785,4.3,4.32
