代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,40.84,-0.78,-1.874,40.83,40.84,41.62,41.3,41.88,40.71,4441737,182812442,11:30:00,-36.142,5.238,1815296.518812,1815296.518812,0.99929
sh688002,睿创微纳,125.8,4.81,3.976,125.77,125.79,120.99,122.0,126.66,120.71,5968553,741154264,11:30:00,50.32,9.098,5858959.98704,5858959.98704,1.28153
sh688003,天准科技,72.51,3.31,4.783,72.51,72.69,69.2,72.48,76.0,70.59,4275084,313620500,11:30:00,111.571,7.55,1409017.9455,1409017.9455,2.20002
sh688004,博汇科技,22.58,0.38,1.712,22.57,22.58,22.2,22.36,22.6,22.19,740474,16538419,11:30:00,-47.042,3.064,180838.704,180838.704,0.92458
sh688005,容百科技,31.14,0.34,1.104,31.11,31.14,30.8,31.4,31.9,30.82,18001099,564790566,11:30:00,-115.333,2.784,2225655.11358,2225322.793728,2.51898
sh688006,杭可科技,31.05,1.7,5.792,31.02,31.05,29.35,29.7,31.68,29.5,19101509,586430504,11:30:00,50.902,3.476,1874402.03196,1874402.03196,3.16422
sh688007,光峰科技,14.44,0.09,0.627,14.43,14.44,14.35,14.36,14.49,14.33,1848094,26621648,11:30:00,240.667,2.577,663684.97694,663684.97694,0.4021
sh688008,澜起科技,151.85,4.67,3.173,151.84,151.85,147.18,147.48,152.5,144.34,26420530,3933508567,11:30:00,77.081,14.361,18559107.318885,17408486.721385,2.3046
sh688009,中国通号,5.31,-0.07,-1.301,5.31,5.32,5.38,5.38,5.4,5.31,28854553,154089875,11:30:00,15.618,1.188,5623193.889,4577760.558,0.3347
sh688010,福光股份,34.49,0.67,1.981,34.47,34.49,33.82,33.82,35.08,33.82,3231452,111491722,11:30:00,571.026,3.299,553776.882522,553776.882522,2.01259
sh688011,新光光电,67.6,0.07,0.104,67.49,67.6,67.53,67.55,68.5,65.98,903119,60922721,11:30:00,-99.412,6.317,676000.0,673718.65548,0.90618
sh688012,中微公司,319.65,-0.71,-0.222,319.45,319.65,320.36,323.1,324.5,317.2,5377949,1722467442,11:30:00,94.015,8.83,20039427.79665,20039427.79665,0.85784
sh688013,天臣医疗,38.05,-0.03,-0.079,38.0,38.06,38.08,38.07,38.3,37.53,530998,20138848,11:30:00,58.538,5.15,308797.058,308797.058,0.6543
sh688015,交控科技,23.07,0.27,1.184,23.07,23.08,22.8,22.8,23.09,22.61,789448,18078061,11:30:00,52.432,1.677,435286.471794,435286.471794,0.4184
sh688016,心脉医疗,100.01,-1.09,-1.078,100.09,100.31,101.1,101.09,101.2,99.97,943139,94711446,11:30:00,21.508,3.025,1232744.432117,1232744.432117,0.76515
sh688017,绿的谐波,206.86,0.36,0.174,206.86,206.89,206.5,212.0,213.77,206.2,2853856,596506142,11:30:00,622.885,10.816,3792366.96575,3792366.96575,1.55668
