序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,227.56,393.84%,66.42%,22.74亿,15.58亿,7.16亿,38.33亿
2,603293,埃泰克,72.99,117.95%,50.75%,6.05亿,7.25亿,-1.21亿,13.30亿
3,300027,华谊兄弟,2.09,20.11%,13.23%,1.40亿,5.45亿,-4.05亿,6.84亿
4,300798,锦鸡股份,13.42,20.04%,20.15%,5.37亿,3.98亿,1.39亿,9.35亿
5,301603,乔锋智能,90.41,20.00%,29.69%,5.76亿,3.90亿,1.86亿,9.66亿
6,688668,鼎通科技,207.23,20.00%,9.17%,13.94亿,11.12亿,2.82亿,25.06亿
7,300905,宝丽迪,46.32,20.00%,6.76%,1.47亿,2.80亿,-1.33亿,4.27亿
8,300088,长信科技,8.17,19.97%,24.52%,30.59亿,16.18亿,14.41亿,46.78亿
9,301396,宏景科技,288.68,19.69%,14.48%,16.13亿,13.88亿,2.24亿,30.01亿
10,301148,嘉戎技术,59.6,18.75%,10.35%,2.10亿,1.38亿,7240.14万,3.48亿
11,301382,蜂助手,40.43,15.51%,24.86%,10.14亿,7.39亿,2.75亿,17.54亿
12,688159,有方科技,49.29,15.24%,8.20%,2.31亿,1.23亿,1.08亿,3.55亿
13,301282,金禄电子,45.05,14.05%,18.74%,4.95亿,4.23亿,7132.36万,9.18亿
14,300390,天华新能,86.99,13.08%,12.81%,40.79亿,30.62亿,10.17亿,71.42亿
15,301091,深城交,24.32,13.01%,2.48%,1.80亿,1.20亿,6024.65万,3.00亿
16,688287,*ST观典,2.21,12.76%,13.53%,4907.32万,6239.05万,-1331.73万,1.11亿
17,300209,行云科技,14.25,12.65%,19.21%,11.60亿,7.11亿,4.49亿,18.71亿
18,300351,永贵电器,18.01,12.56%,12.17%,3.62亿,1.89亿,1.73亿,5.51亿
19,300689,澄天伟业,53.24,12.25%,4.48%,1.31亿,1.00亿,3114.84万,2.32亿
20,300911,亿田智能,36.69,11.69%,5.55%,1.85亿,1.50亿,3522.43万,3.35亿
21,300736,百邦科技,22.06,11.30%,7.50%,1.08亿,8285.84万,2472.43万,1.90亿
22,301369,联动科技,172.77,10.53%,5.85%,1.92亿,1.70亿,2228.55万,3.61亿
23,300857,协创数据,308.99,10.08%,6.41%,34.55亿,31.39亿,3.16亿,65.95亿
24,600156,华升股份,8.42,10.07%,4.38%,5665.48万,8696.80万,-3031.33万,1.44亿
25,571,新大洲A,5.69,10.06%,3.20%,8451.89万,5820.15万,2631.74万,1.43亿
26,782,恒申新材,5.81,10.04%,3.70%,5283.49万,5822.42万,-538.93万,1.11亿
27,600961,株冶集团,20.08,10.03%,3.40%,2.02亿,3.03亿,-1.01亿,5.05亿
28,2726,龙大美食,3.62,10.03%,3.96%,1818.46万,1.36亿,-1.18亿,1.55亿
29,2613,北玻股份,4.17,10.03%,10.30%,2.02亿,1.22亿,8003.50万,3.24亿
30,603826,坤彩科技,34.16,10.02%,2.77%,2.87亿,3.23亿,-3574.12万,6.10亿
31,967,盈峰环境,13.07,10.02%,4.79%,8.98亿,10.43亿,-1.45亿,19.41亿
32,593,德龙汇能,18.33,10.02%,7.09%,2.72亿,1.76亿,9633.11万,4.48亿
33,1203,大中矿业,46.39,10.01%,1.39%,3.91亿,4.29亿,-3858.72万,8.20亿
34,2875,安奈儿,20.99,10.01%,4.80%,8721.78万,8861.97万,-140.19万,1.76亿
35,2213,大为股份,38.34,10.01%,20.38%,7.24亿,8.19亿,-9535.60万,15.43亿
36,603906,龙蟠科技,25.05,10.01%,3.86%,1.63亿,3.79亿,-2.16亿,5.43亿
37,603629,利通电子,96.75,10.01%,14.69%,18.49亿,16.63亿,1.86亿,35.12亿
38,603322,超讯通信,36.26,10.01%,11.36%,2.72亿,3.64亿,-9277.19万,6.36亿
39,2940,昂利康,35.6,10.01%,10.13%,3.21亿,3.28亿,-692.82万,6.50亿
40,2580,圣阳股份,27.8,10.01%,14.44%,8.24亿,9.58亿,-1.34亿,17.83亿
41,2468,申通快递,18.03,10.01%,8.19%,9.63亿,11.96亿,-2.33亿,21.59亿
42,1268,联合精密,31.34,10.00%,4.14%,3196.18万,4813.48万,-1617.29万,8009.97万
43,815,美利云,22.21,10.00%,10.62%,7.14亿,8.93亿,-1.79亿,16.08亿
44,3041,真爱美家,57.97,10.00%,3.66%,1.64亿,1.18亿,4601.49万,2.82亿
45,2263,大东南,5.17,10.00%,13.40%,2.42亿,10.48亿,-8.06亿,12.90亿
46,605060,联德股份,58.95,10.00%,3.55%,2.39亿,2.46亿,-666.34万,4.85亿
47,603052,可川科技,75.77,10.00%,3.33%,2.28亿,2.33亿,-493.87万,4.61亿
48,1230,劲旅环境,27.72,10.00%,6.50%,7189.41万,6554.48万,634.93万,1.37亿
49,605287,德才股份,46.98,10.00%,3.60%,1.20亿,1.10亿,1008.80万,2.31亿
50,2990,盛视科技,46.32,10.00%,13.96%,4.00亿,4.50亿,-5003.79万,8.50亿
51,603985,恒润股份,24.54,10.00%,12.35%,6.94亿,5.94亿,1.00亿,12.88亿
52,603920,世运电路,58.86,10.00%,1.74%,0.00,7.37亿,-7.37亿,7.37亿
53,603897,长城科技,50.6,10.00%,5.36%,2.23亿,3.31亿,-1.09亿,5.54亿
54,600507,方大特钢,6.05,10.00%,3.50%,2.65亿,2.12亿,5229.74万,4.77亿
55,2850,科达利,205.59,10.00%,2.33%,5.08亿,4.18亿,8970.66万,9.26亿
56,2771,真视通,18.37,10.00%,12.04%,1.30亿,2.52亿,-1.22亿,3.82亿
57,657,中钨高新,51.9,10.00%,8.28%,31.45亿,27.56亿,3.89亿,59.02亿
58,603315,福鞍股份,16.84,9.99%,9.74%,3.04亿,2.07亿,9637.64万,5.11亿
59,600683,京投发展,10.9,9.99%,3.20%,9034.36万,1.65亿,-7446.12万,2.55亿
60,2802,洪汇新材,14.87,9.99%,7.27%,7009.25万,8645.37万,-1636.12万,1.57亿
61,2757,南兴股份,22.79,9.99%,9.56%,3.36亿,2.60亿,7602.46万,5.96亿
62,2297,博云新材,16.08,9.99%,22.20%,1.61亿,18.85亿,-17.24亿,20.46亿
63,534,万泽股份,45.9,9.99%,4.61%,5.82亿,4.33亿,1.49亿,10.15亿
64,605166,聚合顺,11.13,9.98%,3.79%,6686.44万,6182.85万,503.58万,1.29亿
65,600768,宁波富邦,17.52,9.98%,7.84%,8573.40万,9568.33万,-994.93万,1.81亿
66,2062,宏润建设,8.05,9.97%,2.33%,9366.95万,1.11亿,-1719.31万,2.05亿
67,605388,均瑶健康,8.06,9.96%,9.34%,1.67亿,2.68亿,-1.01亿,4.34亿
68,600666,奥瑞德,6.85,9.95%,22.16%,21.30亿,15.22亿,6.08亿,36.52亿
69,570,苏常柴A,6.74,9.95%,10.59%,1.98亿,1.83亿,1449.40万,3.81亿
70,546,金圆股份,7.08,9.94%,8.35%,2.00亿,1.99亿,101.71万,3.99亿
71,2421,达实智能,2.9,9.85%,5.83%,1.69亿,1.63亿,567.33万,3.32亿
72,2008,大族激光,86.53,9.82%,3.94%,17.75亿,14.01亿,3.74亿,31.76亿
73,300137,先河环保,16.56,9.81%,11.46%,5.58亿,4.13亿,1.46亿,9.71亿
74,2595,豪迈科技,88.72,9.63%,0.64%,2.77亿,1.63亿,1.14亿,4.40亿
75,301012,扬电科技,33.07,9.58%,9.42%,3.90亿,2.02亿,1.87亿,5.92亿
76,688556,高测股份,14.53,9.41%,6.95%,5.41亿,2.70亿,2.71亿,8.11亿
77,300936,中英科技,72.42,9.40%,11.80%,2.18亿,1.73亿,4450.99万,3.91亿
78,301283,聚胶股份,50.45,9.29%,3.89%,6947.45万,5018.98万,1928.47万,1.20亿
79,301636,泽润新能,77.58,9.28%,30.52%,1.80亿,1.87亿,-735.98万,3.67亿
